,,,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,,,Catalog of Solar Eclipses 1901 - 2100,,,,,,,,,,,,,,
9470,1982,Jul,20,7,148.00,18:44:44,53,-216,155,P,t-,1.2886,0.4643,69N,64E,0,0,0,0,0
9471,1982,Dec,15,12,178.00,09:32:09,53,-211,122,P,-t,1.1293,0.735,65N,57E,0,0,0,0,0
9472,1983,Jun,11,6,176.00,04:43:33,53,-205,127,T,-p,-0.4947,1.0524,6S,114E,60,199,5,11,311
9473,1983,Dec,4,12,178.00,12:31:15,54,-199,132,A,-n,0.4015,0.9666,1N,5W,66,131,4,1,241
9474,1984,May,30,5,176.00,16:45:41,54,-193,137,A,nn,0.2755,0.998,37N,77W,74,7,0,11,11
9475,1984,Nov,22,11,178.00,22:54:17,54,-187,142,T,n-,-0.3132,1.0237,38S,174W,72,85,2,0,120
9476,1985,May,19,5,177.00,21:29:38,55,-181,147,P,t-,1.072,0.8406,63N,81E,0,0,0,0,0
9477,1985,Nov,12,11,148.00,14:11:27,55,-175,152,T,t-,-0.9795,1.0388,69S,143W,11,690,1,59,119
9478,1986,Apr,9,4,177.00,06:21:22,55,-170,119,P,-t,-1.0822,0.8236,61S,161E,0,0,0,0,0
9479,1986,Oct,3,10,177.00,19:06:15,55,-164,124,H,-t,0.9931,1,60N,37W,5,1,0,0,0
9480,1987,Mar,29,3,178.00,12:49:47,55,-158,129,H,-n,-0.3053,1.0013,12S,2W,72,5,0,8,8
9481,1987,Sep,23,9,177.00,03:12:22,56,-152,134,A,-n,0.2787,0.9634,14N,138E,74,137,3,49,229
9482,1988,Mar,18,3,177.00,01:58:56,56,-146,139,T,n-,0.4188,1.0464,21N,140E,65,169,3,46,226
9483,1988,Sep,11,9,177.00,04:44:29,56,-140,144,A,p-,-0.4681,0.9377,20S,94E,62,258,6,57,417
9484,1989,Mar,7,3,177.00,18:08:41,56,-134,149,P,t-,1.0981,0.8268,61N,170W,0,0,0,0,0
9485,1989,Aug,31,8,148.00,05:31:47,57,-128,154,P,t-,-1.1928,0.6344,61S,24E,0,0,0,0,0
9486,1990,Jan,26,1,177.00,19:31:24,57,-123,121,A,-t,-0.9457,0.967,71S,22W,18,373,2,3,123
9487,1990,Jul,22,7,177.00,03:03:07,57,-117,126,T,-p,0.7597,1.0391,65N,169E,40,201,2,33,153
9488,1991,Jan,15,1,177.00,23:53:51,58,-111,131,A,-n,-0.2727,0.929,36S,170W,74,277,7,53,473
9489,1991,Jul,11,7,177.00,19:07:01,58,-105,136,Tm,nn,-0.0041,1.08,22N,105W,90,258,6,53,413
9490,1992,Jan,4,1,178.00,23:05:37,58,-99,141,A,p-,0.4091,0.9179,1N,170W,66,340,11,41,701
9491,1992,Jun,30,6,177.00,12:11:22,59,-93,146,T,p-,-0.7512,1.0592,25S,9W,41,294,5,21,321
9492,1992,Dec,24,12,148.00,00:31:41,59,-87,151,P,t-,1.0711,0.8422,66N,156E,0,0,0,0,0
9493,1993,May,21,5,176.00,14:20:15,59,-82,118,P,-t,1.1372,0.7352,69N,162E,0,0,0,0,0
9494,1993,Nov,13,11,178.00,21:45:51,60,-76,123,P,-t,-1.0411,0.928,70S,58E,0,0,0,0,0
9495,1994,May,10,5,177.00,17:12:26,60,-70,128,A,-p,0.4077,0.9431,42N,84W,66,230,6,13,373
9496,1994,Nov,3,11,177.00,13:40:06,61,-64,133,T,-n,-0.3522,1.0535,35S,34W,69,189,4,23,263
9497,1995,Apr,29,4,178.00,17:33:21,61,-58,138,A,p-,-0.3382,0.9497,5S,79W,70,196,6,37,397
9498,1995,Oct,24,10,176.00,04:33:30,61,-52,143,T,n-,0.3518,1.0213,8N,113E,69,78,2,10,130
9499,1996,Apr,17,4,178.00,22:38:12,62,-46,148,P,t-,-1.058,0.8799,71S,104W,0,0,0,0,0
9500,1996,Oct,12,10,148.00,14:03:04,62,-40,153,P,t-,1.1227,0.7575,72N,32E,0,0,0,0,0
9501,1997,Mar,9,3,177.00,01:24:51,62,-35,120,T,-p,0.9183,1.042,58N,131E,23,356,2,50,170
9502,1997,Sep,2,9,177.00,00:04:48,63,-29,125,P,-t,-1.0352,0.8988,72S,114E,0,0,0,0,0
9503,1998,Feb,26,2,177.00,17:29:27,63,-23,130,T,-n,0.2391,1.0441,5N,83W,76,151,4,9,249
9504,1998,Aug,22,8,178.00,02:07:11,63,-17,135,A,nn,-0.2644,0.9734,3S,145E,75,99,3,14,194
9505,1999,Feb,16,2,176.00,06:34:38,63,-11,140,A,n-,-0.4726,0.9928,40S,94E,62,29,0,40,40
9506,1999,Aug,11,8,178.00,11:04:09,64,-5,145,T,p-,0.5062,1.0286,45N,24E,59,112,2,23,143
9507,2000,Feb,5,2,147.00,12:50:27,64,1,150,P,t-,-1.2233,0.5795,70S,134E,0,0,0,0,0
9508,2000,Jul,1,7,30.00,19:33:34,64,6,117,P,-t,-1.2821,0.4768,67S,109W,0,0,0,0,0
9509,2000,Jul,31,7,147.00,02:14:08,64,7,155,P,t-,1.2166,0.6034,70N,60W,0,0,0,0,0
9510,2000,Dec,25,12,178.00,17:35:57,64,12,122,P,-t,1.1367,0.7228,66N,74W,0,0,0,0,0
9511,2001,Jun,21,6,176.00,0.5033101852,64,18,127,T,-p,-0.5701,1.0495,11S,3E,55,200,4,57,297
9512,2001,Dec,14,12,178.00,0.870150463,64,24,132,A,-n,0.4089,0.9681,1N,131W,66,126,3,53,233
9513,2002,Jun,10,6,177.00,0.989837963,64,30,137,A,nn,0.1993,0.9962,35N,179W,78,13,0,23,23
9514,2002,Dec,4,12,178.00,0.3140740741,64,36,142,T,n-,-0.302,1.0244,39S,60E,72,87,2,4,124
9515,2003,May,31,5,176.00,0.1731712963,64,42,147,An,t-,0.996,0.9384,67N,24W,3,-,3,37,217
9516,2003,Nov,23,11,502.00,0.9516435185,64,48,152,T,t-,-0.9638,1.0379,73S,88E,15,495,1,57,117
9519,2005,Apr,8,4,178.00,0.8589236111,65,65,129,H,-n,-0.3473,1.0074,11S,119W,70,27,0,42,42
9520,2005,Oct,3,10,177.00,0.4394328704,65,71,134,A,-p,0.3306,0.9576,13N,29E,71,162,4,32,272
9521,2006,Mar,29,3,177.00,0.4252662037,65,77,139,T,n-,0.3843,1.0515,23N,17E,67,184,4,7,247
9522,2006,Sep,22,9,503.00,0.4869907407,65,83,144,A,p-,-0.4062,0.9352,21S,9W,66,261,7,9,429
9525,2008,Feb,7,2,176.00,0.1640046296,66,100,121,A,-t,-0.957,0.965,68S,150W,16,444,2,12,132
9526,2008,Aug,1,8,178.00,0.4320833333,66,106,126,T,-p,0.8307,1.0394,66N,72E,34,237,2,27,147
9527,2009,Jan,26,1,177.00,0.3331597222,66,112,131,A,-n,-0.282,0.9282,34S,70E,73,280,7,54,474
9528,2009,Jul,22,7,177.00,0.1086226852,66,118,136,T,nn,0.0698,1.0799,24N,144E,86,258,6,39,399
9529,2010,Jan,15,1,177.00,0.2969791667,67,124,141,A,p-,0.4002,0.919,2N,69E,66,333,11,8,668
9530,2010,Jul,11,7,679.00,0.8157175926,67,130,146,T,p-,-0.6788,1.058,20S,122W,47,259,5,20,320
9535,2012,May,20,5,177.00,0.9957638889,68,153,128,A,-p,0.4828,0.9439,49N,176E,61,237,5,46,346
9536,2012,Nov,13,11,178.00,0.9256365741,68,159,133,T,-n,-0.3719,1.05,40S,161W,68,179,4,2,242
9537,2013,May,10,5,177.00,0.01828703704,68,165,138,A,pn,-0.2694,0.9544,2N,175E,74,173,6,3,363
9538,2013,Nov,3,11,502.00,0.5330555556,68,171,143,H3,n-,0.3272,1.0159,3N,12W,71,58,1,40,100
9541,2015,Mar,20,3,355.00,0.4074884259,69,188,120,T,-t,0.9454,1.0445,64N,7W,18,463,2,47,167
9543,2016,Mar,9,3,176.00,0.08216435185,70,200,130,T,-n,0.2609,1.045,10N,149E,75,155,4,9,249
9544,2016,Sep,1,9,178.00,0.3805787037,70,206,135,A,-n,-0.333,0.9736,11S,38E,70,100,3,6,186
9545,2017,Feb,26,2,176.00,0.6212152778,70,212,140,A,n-,-0.4578,0.9922,35S,31W,63,31,0,44,44
9546,2017,Aug,21,8,680.00,0.7685185185,70,218,145,T,p-,0.4367,1.0306,37N,88W,64,115,2,40,160
9551,2019,Jul,2,7,177.00,0.8084143519,71,241,127,T,-p,-0.6466,1.0459,17S,109W,50,201,4,33,273
9552,2019,Dec,26,12,178.00,0.2214467593,72,247,132,A,-n,0.4135,0.9701,1N,102E,66,118,3,40,220
9553,2020,Jun,21,6,176.00,0.2786458333,72,253,137,Am,nn,0.1209,0.994,31N,80E,83,21,0,38,38
9554,2020,Dec,14,12,178.00,0.6768402778,72,259,142,T,n-,-0.2939,1.0254,40S,68W,73,90,2,10,130
9555,2021,Jun,10,6,177.00,0.4466087963,72,265,147,A,t-,0.9152,0.9435,81N,67W,23,527,3,51,231
9556,2021,Dec,4,12,502.00,0.3157175926,73,271,152,T,p-,-0.9526,1.0367,77S,46W,17,419,1,54,114
9559,2023,Apr,20,4,177.00,0.1791203704,73,288,129,H,-n,-0.3952,1.0132,10S,126E,67,49,1,16,76
9560,2023,Oct,14,10,177.00,0.750474537,74,294,134,A,-p,0.3753,0.952,11N,83W,68,187,5,17,317
9561,2024,Apr,8,4,177.00,0.7628356481,74,300,139,T,n-,0.3431,1.0566,25N,104W,70,198,4,28,268
9562,2024,Oct,2,10,503.00,0.7820949074,74,306,144,A,p-,-0.3509,0.9326,22S,114W,69,266,7,25,445
9565,2026,Feb,17,2,176.00,0.5090972222,75,323,121,A,-t,-0.9743,0.963,65S,87E,12,616,2,20,140
9566,2026,Aug,12,8,178.00,0.7410416667,75,329,126,T,-p,0.8977,1.0386,65N,25W,26,294,2,18,138
9567,2027,Feb,6,2,177.00,0.6672222222,76,335,131,A,-n,-0.2952,0.9281,31S,48W,73,282,7,51,471
9568,2027,Aug,2,8,177.00,0.4221064815,76,341,136,T,nn,0.1421,1.079,26N,33E,82,258,6,23,383
9569,2028,Jan,26,1,178.00,0.6312384259,76,347,141,A,p-,0.3901,0.9208,3N,52W,67,323,10,27,627
9570,2028,Jul,22,7,679.00,0.1226851852,77,353,146,T,p-,-0.6056,1.056,16S,127E,53,230,5,10,310
9575,2030,Jun,1,6,177.00,0.2702893519,78,376,128,A,-p,0.5626,0.9443,57N,80E,55,250,5,21,321
9576,2030,Nov,25,11,177.00,0.2858449074,78,382,133,T,-n,-0.3867,1.0468,44S,71E,67,169,3,44,224
9577,2031,May,21,5,177.00,0.3028240741,78,388,138,A,nn,-0.197,0.9589,9N,72E,79,152,5,26,326
9578,2031,Nov,14,11,177.00,0.8802199074,79,394,143,H,n-,0.3078,1.0106,1S,138W,72,38,1,8,68
9579,2032,May,9,5,325.00,0.5602083333,79,400,148,A,t-,-0.9375,0.9957,51S,7W,20,44,0,22,22
9581,2033,Mar,30,3,355.00,0.7518055556,80,411,120,T,-t,0.9778,1.0462,71N,156W,11,781,2,37,157
9583,2034,Mar,20,3,176.00,0.4296875,80,423,130,T,-n,0.2894,1.0458,16N,22E,73,159,4,9,249
9584,2034,Sep,12,9,178.00,0.6801851852,81,429,135,A,-p,-0.3936,0.9736,18S,73W,67,102,2,58,178
9585,2035,Mar,9,3,177.00,0.9624305556,81,435,140,A,n-,-0.4368,0.9919,29S,155W,64,31,0,48,48
9586,2035,Sep,2,9,680.00,0.08108796296,81,441,145,T,p-,0.3727,1.032,29N,158E,68,116,2,54,174
9591,2037,Jul,13,7,176.00,0.1115277778,83,464,127,T,-p,-0.7246,1.0413,25S,139E,43,201,3,58,238
9592,2038,Jan,5,1,178.00,0.5744328704,83,470,132,A,-n,0.4169,0.9728,2N,25W,65,107,3,18,198
9593,2038,Jul,2,7,177.00,0.564525463,84,476,137,A,nn,0.0398,0.9911,25N,22W,88,31,1,0,60
9594,2038,Dec,26,12,177.00,0.04178240741,84,482,142,T,n-,-0.2881,1.0268,40S,164E,73,95,2,18,138
9595,2039,Jun,21,6,177.00,0.7172916667,84,488,147,A,p-,0.8312,0.9454,79N,102W,33,365,4,5,245
9596,2039,Dec,15,12,502.00,0.6831712963,85,494,152,T,p-,-0.9458,1.0356,81S,173E,18,380,1,51,111
9599,2041,Apr,30,4,178.00,0.4946875,86,511,129,T,-p,-0.4492,1.0189,10S,12E,63,72,1,51,111
9600,2041,Oct,25,10,177.00,0.0669212963,86,517,134,A,-p,0.4133,0.9467,10N,163E,66,213,6,7,367
9601,2042,Apr,20,4,177.00,0.09548611111,86,523,139,T,n-,0.2956,1.0614,27N,137E,73,210,4,51,291
9602,2042,Oct,14,10,502.00,0.08381944444,87,529,144,A,n-,-0.303,0.93,24S,138E,72,273,7,44,464
9605,2044,Feb,28,2,177.00,0.8504513889,88,546,121,As,-t,-0.9954,0.96,62S,26W,4,-,2,27,147
9606,2044,Aug,23,8,177.00,0.05349537037,88,552,126,T,-t,0.9613,1.0364,64N,120W,15,453,2,4,124
9607,2045,Feb,16,2,177.00,0.9973032407,89,558,131,A,-n,-0.3125,0.9285,28S,166W,72,281,7,47,467
9608,2045,Aug,12,8,177.00,0.7379513889,89,564,136,T,-n,0.2116,1.0774,26N,79W,78,256,6,6,366
9609,2046,Feb,5,2,178.00,0.9628009259,90,570,141,A,p-,0.3765,0.9232,5N,171W,68,310,9,42,582
9610,2046,Aug,2,8,679.00,0.431400463,90,576,146,T,p-,-0.535,1.0531,13S,15E,58,206,4,51,291
9615,2048,Jun,11,6,177.00,0.5408912037,92,599,128,A,-p,0.6468,0.9441,64N,12W,49,272,4,58,298
9616,2048,Dec,5,12,177.00,0.6496180556,92,605,133,T,-n,-0.3973,1.044,46S,56W,66,160,3,28,208
9617,2049,May,31,5,178.00,0.5833217593,92,611,138,A,nn,-0.1187,0.9631,15N,30W,83,134,4,45,285
9618,2049,Nov,25,11,176.00,0.2318055556,93,617,143,H,n-,0.2943,1.0057,4S,95E,73,21,0,38,38
9619,2050,May,20,5,680.00,0.8630787037,94,623,148,H,t-,-0.8688,1.0038,40S,124W,29,27,0,21,21
9623,2052,Mar,30,3,176.00,0.7721412037,97,646,130,T,-n,0.3238,1.0466,22N,103W,71,164,4,8,248
9624,2052,Sep,22,9,179.00,0.9855324074,98,652,135,A,-p,-0.448,0.9734,26S,175E,63,106,2,51,171
9625,2053,Mar,20,3,176.00,0.2974421296,99,658,140,A,n-,-0.4089,0.9919,23S,83E,66,31,0,50,50
9626,2053,Sep,12,9,680.00,0.3987152778,100,664,145,T,n-,0.314,1.0328,21N,42E,72,116,3,4,184
9631,2055,Jul,24,7,176.00,0.415162037,104,687,127,T,-p,-0.8012,1.0359,33S,26E,37,202,3,17,197
9632,2056,Jan,16,1,178.00,0.9282986111,105,693,132,A,-n,0.4199,0.9759,4N,154W,65,95,2,52,172
9633,2056,Jul,12,7,177.00,0.848599537,106,699,137,A,nn,-0.0426,0.9878,19N,124W,88,43,1,26,86
9634,2057,Jan,5,1,177.00,0.4082407407,107,705,142,T,n-,-0.2837,1.0287,39S,35E,73,102,2,29,149
9635,2057,Jul,1,7,178.00,0.9862847222,108,711,147,A,p-,0.7455,0.9464,71N,176W,41,298,4,22,262
9636,2057,Dec,26,12,501.00,0.05179398148,109,717,152,T,p-,-0.9405,1.0348,85S,22E,19,355,1,50,110
9640,2059,May,11,5,178.00,0.8071296296,112,734,129,T,-p,-0.508,1.0242,11S,100W,59,95,2,23,143
9641,2059,Nov,5,11,177.00,0.3876736111,113,740,134,A,-p,0.4454,0.9417,9N,47E,63,238,7,0,420
9642,2060,Apr,30,4,177.00,0.4236111111,114,746,139,T,n-,0.2422,1.066,28N,21E,76,222,5,15,315
9643,2060,Oct,24,10,178.00,0.3917824074,115,752,144,A,nn,-0.2625,0.9277,26S,28E,75,281,8,6,486
9644,2061,Apr,20,4,176.00,0.1227893519,116,758,149,T,t-,0.9578,1.0475,65N,59E,16,559,2,37,157
9645,2061,Oct,13,10,503.00,0.4390046296,117,764,154,A,t-,-0.9639,0.9469,62S,54W,15,743,3,41,221
9648,2063,Feb,28,2,177.00,0.321875,120,781,131,A,-p,-0.336,0.9293,25S,78E,70,280,7,41,461
9649,2063,Aug,24,8,177.00,0.05707175926,121,787,136,T,-n,0.2771,1.075,26N,168E,74,252,5,49,349
9650,2064,Feb,17,2,177.00,0.2919328704,122,793,141,A,p-,0.3597,0.9262,7N,70E,69,295,8,56,536
9651,2064,Aug,12,8,679.00,0.7403472222,123,799,146,T,p-,-0.4652,1.0495,11S,96W,62,184,4,28,268
9656,2066,Jun,22,6,178.00,0.8095833333,127,822,128,A,-p,0.733,0.9435,70N,96W,43,309,4,40,280
9657,2066,Dec,17,12,176.00,0.01643518519,128,828,133,T,-n,-0.4043,1.0416,47S,176E,66,152,3,14,194
9658,2067,Jun,11,6,178.00,0.8628009259,129,834,138,A,nn,-0.0387,0.967,21N,130W,88,119,4,5,245
9659,2067,Dec,6,12,177.00,0.5859143519,130,840,143,H,n-,0.2845,1.0011,6S,32W,74,4,0,8,8
9660,2068,May,31,5,680.00,0.1643402778,131,846,148,T,p-,-0.797,1.011,31S,123E,37,63,1,6,66
9665,2070,Apr,11,4,176.00,0.1084375,135,869,130,T,-n,0.3652,1.0472,29N,135E,68,168,4,4,244
9666,2070,Oct,4,10,178.00,0.2978819444,136,875,135,A,-p,-0.495,0.9731,33S,60E,60,110,2,44,164
9667,2071,Mar,31,3,176.00,0.6257638889,138,881,140,A,n-,-0.3739,0.9919,17S,37W,68,31,0,52,52
9668,2071,Sep,23,9,355.00,0.7225462963,139,887,145,T,n-,0.262,1.0333,14N,77W,75,116,3,11,191
9670,2072,Sep,12,9,325.00,0.374537037,141,899,155,T,t-,0.9655,1.0558,70N,102E,14,732,3,13,193
9672,2073,Aug,3,8,177.00,0.7190162037,143,910,127,T,-t,-0.8763,1.0294,43S,89W,28,206,2,29,149
9673,2074,Jan,27,1,178.00,0.2807291667,144,916,132,A,-n,0.4251,0.9798,7N,79E,65,79,2,21,141
9674,2074,Jul,24,7,176.00,0.1323148148,145,922,137,A,nn,-0.1242,0.9838,13N,134E,83,58,1,57,117
9675,2075,Jan,16,1,178.00,0.7750462963,146,928,142,T,n-,-0.2799,1.0311,37S,94W,74,110,2,42,162
9676,2075,Jul,13,7,177.00,0.2539814815,147,934,147,A,p-,0.6583,0.9467,63N,95E,49,262,4,45,285
9677,2076,Jan,6,1,502.00,0.4218402778,148,940,152,T,p-,-0.9373,1.0342,87S,174W,20,340,1,49,109
9681,2077,May,22,5,177.00,0.1153356481,151,957,129,T,-p,-0.5725,1.029,13S,148E,55,119,2,54,174
9682,2077,Nov,15,11,177.00,0.7138425926,152,963,134,A,-p,0.4705,0.9371,8N,71W,62,262,7,54,474
9683,2078,May,11,5,177.00,0.7478587963,153,969,139,T,n-,0.1838,1.0701,28N,94W,79,232,5,40,340
9684,2078,Nov,4,11,178.00,0.7053703704,154,975,144,A,nn,-0.2285,0.9255,28S,83W,77,287,8,29,509
9685,2079,May,1,5,176.00,0.4515393519,155,981,149,T,p-,0.9081,1.0512,66N,46W,24,406,2,55,175
9686,2079,Oct,24,10,503.00,0.7578819444,156,987,154,A,t-,-0.9243,0.9484,63S,161W,22,495,3,39,219
9689,2081,Mar,10,3,177.00,0.6413310185,159,1004,131,A,-p,-0.3653,0.9304,22S,37W,68,277,7,36,456
9690,2081,Sep,3,9,177.00,0.3802199074,160,1010,136,T,-n,0.3378,1.072,25N,54E,70,247,5,33,333
9691,2082,Feb,27,2,178.00,0.6159722222,162,1016,141,A,p-,0.3361,0.9298,9N,47W,70,277,8,12,492
9692,2082,Aug,24,8,679.00,0.05302083333,163,1022,146,T,n-,-0.4004,1.0452,10S,152E,66,163,4,1,241
9697,2084,Jul,3,7,177.00,0.07668981481,167,1045,128,A,-p,0.8208,0.9421,75N,169W,35,377,4,25,265
9698,2084,Dec,27,12,177.00,0.3845833333,168,1051,133,T,-n,-0.4094,1.0396,47S,48E,66,146,3,4,184
9699,2085,Jun,22,6,177.00,0.1397685185,169,1057,138,A,nn,0.0452,0.9704,26N,131E,87,106,3,29,209
9700,2085,Dec,16,12,177.00,0.9429166667,170,1063,143,A,n-,0.2786,0.9971,7S,161W,74,10,0,19,19
9701,2086,Jun,11,6,680.00,0.4633564815,171,1069,148,T,p-,-0.7215,1.0174,23S,12E,44,86,1,48,108
9706,2088,Apr,21,4,176.00,0.4387615741,175,1092,130,T,-p,0.4135,1.0474,36N,15E,65,173,3,58,238
9707,2088,Oct,14,10,178.00,0.616724537,177,1098,135,A,-p,-0.5349,0.9727,40S,56W,57,115,2,38,158
9708,2089,Apr,10,4,177.00,0.9477083333,178,1104,140,A,n-,-0.3319,0.9919,10S,155W,71,30,0,53,53
9709,2089,Oct,4,10,354.00,0.05234953704,179,1110,145,T,n-,0.2167,1.0333,7N,163E,77,115,3,14,194
9711,2090,Sep,23,9,326.00,0.7059722222,181,1122,155,T,t-,0.9157,1.0562,61N,40W,23,463,3,36,216
9713,2091,Aug,15,8,176.00,0.0241087963,183,1133,127,T,-t,-0.949,1.0216,56S,150E,18,236,1,38,98
9714,2092,Feb,7,2,178.00,0.6321759259,184,1139,132,A,-n,0.4322,0.984,10N,49W,64,62,1,48,108
9715,2092,Aug,3,8,177.00,0.4163541667,185,1145,137,A,nn,-0.2044,0.9794,6N,30E,78,75,2,31,151
9716,2093,Jan,27,1,177.00,0.140462963,186,1151,142,T,n-,-0.2737,1.034,34S,136E,74,119,2,58,178
9717,2093,Jul,23,7,177.00,0.5222685185,187,1157,147,A,p-,0.5717,0.9463,55N,1E,55,241,5,11,311
9718,2094,Jan,16,1,502.00,0.7910069444,189,1163,152,T,p-,-0.9333,1.0342,85S,11W,21,329,1,51,111
9722,2095,Jun,2,6,178.00,0.4219907407,192,1180,129,T,-p,-0.6396,1.0332,17S,37E,50,145,3,18,198
9723,2095,Nov,27,11,177.00,0.04371527778,193,1186,134,A,-p,0.4903,0.933,7N,170E,61,285,8,47,527
9724,2096,May,22,5,177.00,0.06752314815,194,1192,139,T,nn,0.1196,1.0737,27N,153E,83,241,6,6,366
9725,2096,Nov,15,11,177.00,0.02517361111,195,1198,144,A,nn,-0.2018,0.9237,30S,163E,78,294,8,53,533
9726,2097,May,11,5,177.00,0.7739699074,196,1204,149,T,p-,0.8516,1.0538,67N,150W,31,339,3,10,190
9727,2097,Nov,4,11,502.00,0.08431712963,197,1210,154,A,t-,-0.8926,0.9494,66S,87E,26,411,3,36,216
9731,2099,Mar,21,3,177.00,0.954537037,201,1227,131,A,-p,-0.4016,0.9318,20S,149W,66,275,7,32,452
9732,2099,Sep,14,9,177.00,0.7068634259,202,1233,136,T,-n,0.3942,1.0684,23N,63W,67,241,5,18,318
9733,2100,Mar,10,3,178.00,0.9362384259,203,1239,141,A,n-,0.3077,0.9338,12N,162W,72,257,7,29,449
9734,2100,Sep,4,9,0.00,0.3675925926,204,1245,146,T,n-,-0.3384,1.0402,10S,39E,70,142,3,32,212